Hash;Count;Manufacturer;Model;Year From;Year To;Horsepower;Fuel Type
d213d7b58d9d823325a19e5577ecb586bca8230c74661c92ea00062e6373f872;1;Mercedes-Benz;C 300;2024;2024;281 hp;Benzin
93748602045b1d4abe871ea3af317d1027ee4e74a32548e01793ee52475a16eb;1;Volkswagen;Arteon;2025;2025;305 hp;Benzin
c7a68b770b912fc2c568a4c0870257f20846407f86d1bb027d757e707a654ee9;1;Peugeot;508;2020;2020;224 hp;Benzin
95a2f68fe9f251ec0353fde1cfe8df63820ba5bbb03747e3382cf36e9151cbce;1;BMW;1er M Coupé;2009;2009;116 hp;Diesel
f1fdbe9bb58db555ca81e85624be16ae3a67747e37aaf2978bbd796044f7eca1;1;BMW;1er M Coupé;2013;2013;320 hp;Benzin
93e223f192ea9db1f9853d75ac6decabde982856dc9884adf9b1c5a6cc29949a;1;BMW;1er M Coupé;2009;2009;420 hp;Benzin
bb42ba424d7a0497fc1b41459037f1edf4ffdbff578b4bcc30c22e2dd9f9cac0;1;BMW;1er M Coupé;1977;1977;86 hp;Benzin
02c0915a6b4b753643155d53f634f746f9bc196f43799cb7dac771462c3d753b;1;BMW;1er M Coupé;2012;2012;143 hp;Benzin
af2027273287a62490db8cf02aaebb9ad1dd8e5487fede69045854bfb8ceabdb;1;Mercedes-Benz;C 300;2019;2019;272 hp;Benzin
87222b70a18fdc2c965029cdb70aeac3d0677d3682e9f30f43494fdc15c1180c;1;Mercedes-Benz;CLA 45 AMG;2023;2023;387 hp;Benzin
3714ff20964e6638c03543919e300253b57479f8f2c8d2676448e49ee217e76d;1;Mercedes-Benz;CLA 45 AMG Shooting Brake;2023;2023;421 hp;Benzin
c6cc3a4c5fdcb207f57c19592ef9b1c98d991aca20d635ddebfd272df35784bc;1;Volvo;V60 Cross Country;2021;2021;250 hp;Benzin
4b5abd33676f185222b1d99731716dde3632eeff3060dcc92e82ebae3588047b;1;Cupra;Leon;2025;2025;204 hp;Benzin
32d2e7748fce7d0ebfc328bf202b9e6125211c867e4402b527f21af28dfc0072;1;BMW;1er M Coupé;2012;2012;379 hp;Benzin
429af7b65c001efd1719dcad9aff1d3f4d2af4f48f3ebf4e0b0e7f544b124ebf;1;Mercedes-Benz;A 35 AMG;2025;2025;306 hp;Benzin
0b1a995431fa92d5c8d02a1af1201f8f237129dbbd1ffa58b06d24df15f02946;1;Cupra;Formentor;2022;2022;310 hp;Benzin
1f1f8eed12c0394581d2ae3906a27b11cac3d323af2be190418c9e2043aa2878;1;BMW;540;2024;2024;303 hp;Diesel
117b940badbb1b2c8f42c935f654fcd92d1a541b4ad154c1afcc5278d2c873a8;1;BMW;540;2022;2022;340 hp;Diesel
f5862d39d26a2bc869150a005de6f7ea149d9fd7454835352ec0cac0d6a11b24;1;Dodge;Challenger;2021;2021;495 hp;Benzin
e6a15ae0607b5d2b1b745cfccdb64be27d05b4102ff64e9ac0eac4aeeedf340d;1;Skoda;Superb;2025;2025;204 hp;Benzin
7657376a6939c1dc741ca520c5d339a9c845a040bb30439cf5ca50dc62fcc4e1;1;Mercedes-Benz;E 300;2019;2019;245 hp;Benzin
34fe75f0a13e6dd1bbd9b022a0cd6135385f690d18d96fd25bce7fec283542ac;1;BMW;440;2021;2021;374 hp;Benzin
e80c341d8bc950b1262bdf74e062c54583908b82e341868d8df6a71ef0c07dde;1;Mercedes-Benz;CLS 350;2020;2020;299 hp;Benzin
2be6118ac15a9416ebe3053f3b3a0af9122349e1acd31c3f9627d7387f250abb;1;Audi;A5;2022;2022;286 hp;Diesel
752f8191e0c800722528e7fa94c228df12c56b5286e3460e3a94d4479c10caa3;1;Ford;Mustang;2024;2024;454 hp;Benzin
a18da15e3f92c280a4516a1794328c42b6763a23829d75dce6f942457207e096;1;Dodge;Challenger;2020;2020;383 hp;Benzin
6c152a7cd1c0211015e659447c34d5a6192af55649f984f622dc2987d919b115;1;Alfa Romeo;Giulia;2022;2022;280 hp;Benzin
9640a933b27d919ac8a9f077040c6ee1d3b749049767f043a4e1062f4bf53089;1;BMW;M135;2022;2022;306 hp;Benzin
9e8c7707cdf7b2ef9c94bda477fdc377c5d4c9a7c094a3da615ef7b220298d6d;1;Chevrolet;Camaro;2022;2022;460 hp;Benzin
efd815660bb29debd79dc2ad05283f681872c5970f11e2b9008f1b63a710505e;1;Mercedes-Benz;GLE 43 AMG;2019;2019;390 hp;Benzin
4bbe1578e5188578ae7f12272a9217c344a2582de9e01b762376e71a343aae9b;1;Opel;Insignia;2022;2022;230 hp;Benzin
80441281ae2738626d2854d4b9b937f8f31cdaa209a2b6ecfd32fd3d56428820;1;Mercedes-Benz;GLC 400;2023;2023;330 hp;Diesel
af1fe2f4596165740ca859834c847b0f527cd0f5f80e6bee794d9066ac60a0dc;1;Jaguar;F-Type;2021;2021;300 hp;Benzin
c6ed34917887d2f932c303726c6d81767d615cc69ff287da0ee200b735e7dcd8;1;BMW;440;2019;2019;326 hp;Benzin
5e9dd53edbe558bcc0819f31d28db307a2b7c65b4595a951335c25ee4bb385a5;1;BMW;M235;2024;2024;306 hp;Benzin
